80690010:19:{rd 20 res} read: 8, ts: 6, fin: 13/34, writer id: 1, n: 24
80693807:21:{rd 20 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
80693832:12:{rd 20 res} read: 8, ts: 6, fin: 14/35, writer id: 1, n: 24
80697726:22:{rd 20 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
80697731:13:{rd 20 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
80697830:15:{rd 20 res} read: 8, ts: 6, fin: 15/36, writer id: 1, n: 24
80701745:7:{rd 20 res} read: 8, ts: 6, fin: 16/37, writer id: 1, n: 24
80713379:2:{rd 20 res} read: 8, ts: 6, fin: 13/40, writer id: 1, n: 24
80717274:20:{rd 20 res} read: 8, ts: 6, fin: 17/41, writer id: 1, n: 24
80717411:14:{rd 20 res} read: 8, ts: 6, fin: 13/41, writer id: 1, n: 24
80721327:18:{rd 20 res} read: 8, ts: 6, fin: 15/42, writer id: 1, n: 24
80721579:4:{rd 20 res} read: 8, ts: 6, fin: 13/42, writer id: 1, n: 24
80721655:8:{rd 20 res} read: 8, ts: 6, fin: 13/42, writer id: 1, n: 24
80721674:1:{rd 20 res} read: 8, ts: 6, fin: 13/42, writer id: 1, n: 24
80725393:24:{rd 20 res} read: 8, ts: 6, fin: 14/43, writer id: 1, n: 24
80725579:16:{rd 20 res} read: 8, ts: 6, fin: 10/43, writer id: 1, n: 24
80725619:5:{rd 20 res} read: 8, ts: 6, fin: 14/43, writer id: 1, n: 24
80839105:6:{rd 20 res} read: 8, ts: 6, fin: 11/72, writer id: 1, n: 24
80842965:9:{rd 20 res} read: 8, ts: 6, fin: 12/73, writer id: 1, n: 24
81022885:3:{rd 20 res} read: 8, ts: 6, fin: 16/119, writer id: 1, n: 24
81050346:10:{rd 20 res} read: 8, ts: 6, fin: 13/126, writer id: 1, n: 24
84677265:20:{rd 21 res} read: 9, ts: 7, fin: 10/31, writer id: 1, n: 24
84680369:1:{rd 21 res} written: 9, ts: 7, fin: 11/32, n: 24
84680469:24:{rd 21 res} written: 9, ts: 7, fin: 11/32, n: 24
84684948:6:{rd 21 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 24
84685121:5:{rd 21 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 24
84688948:12:{rd 21 res} read: 9, ts: 7, fin: 13/34, writer id: 1, n: 24
84688952:22:{rd 21 res} read: 9, ts: 7, fin: 13/34, writer id: 1, n: 24
84688969:19:{rd 21 res} read: 9, ts: 7, fin: 13/34, writer id: 1, n: 24
84692821:11:{rd 21 res} read: 9, ts: 7, fin: 10/35, writer id: 1, n: 24
84692901:23:{rd 21 res} read: 9, ts: 7, fin: 10/35, writer id: 1, n: 24
84693015:13:{rd 21 res} read: 9, ts: 7, fin: 14/35, writer id: 1, n: 24
84712415:3:{rd 21 res} read: 9, ts: 7, fin: 14/40, writer id: 1, n: 24
84712552:14:{rd 21 res} read: 9, ts: 7, fin: 15/40, writer id: 1, n: 24
84716316:21:{rd 21 res} read: 9, ts: 7, fin: 14/41, writer id: 1, n: 24
84716334:4:{rd 21 res} read: 9, ts: 7, fin: 15/41, writer id: 1, n: 24
84720350:8:{rd 21 res} read: 9, ts: 7, fin: 15/42, writer id: 1, n: 24
84720605:2:{rd 21 res} read: 9, ts: 7, fin: 15/42, writer id: 1, n: 24
84724666:16:{rd 21 res} read: 9, ts: 7, fin: 14/43, writer id: 1, n: 24
84728142:17:{rd 21 res} read: 9, ts: 7, fin: 13/44, writer id: 1, n: 24
84763642:15:{rd 21 res} read: 9, ts: 7, fin: 14/53, writer id: 1, n: 24
84767749:18:{rd 21 res} read: 9, ts: 7, fin: 11/54, writer id: 1, n: 24
84900494:10:{rd 21 res} read: 9, ts: 7, fin: 12/88, writer id: 1, n: 24
84990409:9:{rd 21 res} read: 9, ts: 7, fin: 9/111, writer id: 1, n: 24
85037580:7:{rd 21 res} read: 9, ts: 7, fin: 14/123, writer id: 1, n: 24
88691997:10:{rd 22 res} read: 9, ts: 7, fin: 14/35, writer id: 1, n: 24
